MonuNum,Run_no,MonuNm,Type,Comp_sheet,TOPO,Gauss_Lo,LO,Y_Gauss,Y_LO,X_Gauss,X_LO,MSL_Hgt,H_acc,LatCD,LonCD,P_acc,CM_UTM,UTMCM,E_UTM,Y_UTM,N_UTM,X_UTM,Lat_WGS84,Lon_WGS84,P84_acc,EllpHgt,H84_acc,Geoid_Sep,Src_Geoid,PedHgt,PillHgt,TopSignal,BotSignal,Establ,Date_Revisions,Observed,Computed,Last_insp,Destroy,DegSqr,Invest,Check,Remark,Intervisibility,AREA_NM,Township,Reported_by
81/T,,Helensvale,TERT,UR0037,1731C1,31,,-13545.86,,1961982.97,,1530.9,,174422.175,310739.78,,33,,301472.7,,8037817.85,,0,0,,0,,,,0.3048,1.22,1.18,0.725,,,,,2001-05-30 00:00:00,,1731,True,False,"Lines to 168/S, 20/P, 131/T, 125/T Blocked by gumtree. Trig is on a locked gate fence, owner presumed out of country, access is -hole on the fence.",,Harare,,
810/S,,TYRONE,SEC,TQ2253,1830A4,31,,65123.87,,2045297.89,,1269.9,,182928.792,302300.118,,33,,223689.92,,7953629.26,,0,0,,0,,,,0.4,1.2,0.925,0.468,,,,,1987-05-15 00:00:00,,1830,False,False,,,Kadoma,,
811/S,,CHOMBE,SEC,TQ2007,1830C4,31,,68066.18,,2091346.46,,1375.4,,185426.146,302114.153,,33,,221262.34,,7907527.7,,0,0,,0,,,,2,1.2,0.933,0.475,,,,,1987-05-13 00:00:00,,1830,False,False,,,Mvuma,,
812/S,,MOREENA,SEC,TQ1410,1830C4,31,,74237.4,,2088716.8,,1451.6,,185259.855,301743.65,,33,,215058.54,,7910088.69,,0,0,,0,,,,1.5,1.2,0.936,0.478,,,,,1987-05-14 00:00:00,,1830,False,False,,,Mvuma,,
813/S,,GWAZAAN,SEC,RK4044,1830C1,29,,-129819.43,,2053616.14,,1246.7,,183348.546,301346.816,,27,,840951.93,,7944587.15,,0,0,,0,,,,2.9,1.2,0.927,0.473,,,,,1987-05-19 00:00:00,,1830,False,False,,,Munyati,,
814/S,,CHADSHUNT,SEC,RL0202,1829B2,29,,-91170.19,,1996454.82,,1108.3,,180256.753,295139.817,,27,,802904.76,,8002211.38,,0,0,,0,,,,0.9,1.2,0.93,0.47,,,,,1997-07-03 00:00:00,,1829,False,False,,,Chakari,,
815/S,,CORNUCOPIA,SEC,RK1298,1829B2,29,,-101635.36,,1999735.56,,1180.5,,180441.779,295736.181,,27,,813340.63,,7998815.19,,0,0,,0,,,,0.6,1.2,0.942,0.842,,,,,1997-07-06 00:00:00,,1829,False,False,,,Chakari,,
816/S,,Banning Hill,SEC,RL0217,1729D4,29,,-91280.39,,1981224.77,,1145.5,,175441.379,295141.161,,27,,803179.41,,8017448.99,,0,0,,0,,,,0.6,1.2,0.925,0.467,,,,,1997-07-10 00:00:00,,1729,False,False,,,Chakari,,
817/S,,Fairmore,SEC,RL1014,1729D4,29,,-99284.77,,1984013.68,,1152.2,,175610.831,295613.553,,27,,811158.55,,8014572.27,,0,0,,0,,,,0.9,1.2,0.928,0.469,,,,,1997-07-09 00:00:00,,1729,False,False,,,Chakari,,
818/S,,DEMONICA,SEC,RK0288,1829B2,29,,-91999.64,,2010264.26,,1136.4,,181025.771,295210.232,,27,,803584.58,,7988384.98,,0,0,,0,,,,7,1.2,0.928,0.47,,,,,1997-07-04 00:00:00,,1829,False,False,,,Chakari,,
